"County","measure","value"
"Adams County","Children without Health Insurance",0.0594155077266643
"Alamosa County","Children without Health Insurance",0.0150602409638554
"Arapahoe County","Children without Health Insurance",0.06357209160383
"Archuleta County","Children without Health Insurance",0.0876413570274636
"Baca County","Children without Health Insurance",0.0341772151898734
"Bent County","Children without Health Insurance",0.0165198237885463
"Boulder County","Children without Health Insurance",0.0199928169519933
"Broomfield County","Children without Health Insurance",0.0298676523190652
"Chaffee County","Children without Health Insurance",0.0154052243804421
"Cheyenne County","Children without Health Insurance",0.105
"Clear Creek County","Children without Health Insurance",0
"Conejos County","Children without Health Insurance",0.105552776388194
"Costilla County","Children without Health Insurance",0.0219298245614035
"Crowley County","Children without Health Insurance",0.00195121951219512
"Custer County","Children without Health Insurance",0.18070652173913
"Delta County","Children without Health Insurance",0.0762619159243632
"Denver County","Children without Health Insurance",0.0533672265357554
"Dolores County","Children without Health Insurance",0.0515759312320917
"Douglas County","Children without Health Insurance",0.0288397120282442
"Eagle County","Children without Health Insurance",0.0522088353413655
"Elbert County","Children without Health Insurance",0.0312091503267974
"El Paso County","Children without Health Insurance",0.0465279349812552
"Fremont County","Children without Health Insurance",0.0326345878989995
"Garfield County","Children without Health Insurance",0.145374984806126
"Gilpin County","Children without Health Insurance",0.0229405630865485
"Grand County","Children without Health Insurance",0.0636160714285714
"Gunnison County","Children without Health Insurance",0.0103298900366544
"Hinsdale County","Children without Health Insurance",0.072992700729927
"Huerfano County","Children without Health Insurance",0.00967741935483871
"Jackson County","Children without Health Insurance",0.075
"Jefferson County","Children without Health Insurance",0.0371989920943483
"Kiowa County","Children without Health Insurance",0.00964630225080386
"Kit Carson County","Children without Health Insurance",0.104188481675393
"Lake County","Children without Health Insurance",0.0632823365785814
"La Plata County","Children without Health Insurance",0.0733046581861444
"Larimer County","Children without Health Insurance",0.0380240406593702
"Las Animas County","Children without Health Insurance",0.0283560660445083
"Lincoln County","Children without Health Insurance",0.0643656716417911
"Logan County","Children without Health Insurance",0.0461461711149913
"Mesa County","Children without Health Insurance",0.0611863480836137
"Mineral County","Children without Health Insurance",0.12
"Moffat County","Children without Health Insurance",0.049002849002849
"Montezuma County","Children without Health Insurance",0.175034626038781
"Montrose County","Children without Health Insurance",0.134940778341794
"Morgan County","Children without Health Insurance",0.0938600905888274
"Otero County","Children without Health Insurance",0.0267298986850614
"Ouray County","Children without Health Insurance",0.0634674922600619
"Park County","Children without Health Insurance",0.0331574981160512
"Phillips County","Children without Health Insurance",0.0204081632653061
"Pitkin County","Children without Health Insurance",0.0100409074005206
"Prowers County","Children without Health Insurance",0.047719087635054
"Pueblo County","Children without Health Insurance",0.0242981957297213
"Rio Blanco County","Children without Health Insurance",0.131067961165049
"Rio Grande County","Children without Health Insurance",0.124352331606218
"Routt County","Children without Health Insurance",0.0743446497636442
"Saguache County","Children without Health Insurance",0.0834683954619125
"San Juan County","Children without Health Insurance",0
"San Miguel County","Children without Health Insurance",0.0665669409124907
"Sedgwick County","Children without Health Insurance",0.0427807486631016
"Summit County","Children without Health Insurance",0.0280701754385965
"Teller County","Children without Health Insurance",0.0240758754863813
"Washington County","Children without Health Insurance",0.0602302922940655
"Weld County","Children without Health Insurance",0.0473283764624393
"Yuma County","Children without Health Insurance",0.147899752912107
"Adams County","Household Income ($)",91387
"Alamosa County","Household Income ($)",51445
"Arapahoe County","Household Income ($)",97215
"Archuleta County","Household Income ($)",76524
"Baca County","Household Income ($)",40380
"Bent County","Household Income ($)",49194
"Boulder County","Household Income ($)",102772
"Broomfield County","Household Income ($)",121025
"Chaffee County","Household Income ($)",70909
"Cheyenne County","Household Income ($)",67768
"Clear Creek County","Household Income ($)",96667
"Conejos County","Household Income ($)",47209
"Costilla County","Household Income ($)",36519
"Crowley County","Household Income ($)",47563
"Custer County","Household Income ($)",72700
"Delta County","Household Income ($)",58330
"Denver County","Household Income ($)",91681
"Dolores County","Household Income ($)",70490
"Douglas County","Household Income ($)",145737
"Eagle County","Household Income ($)",103174
"Elbert County","Household Income ($)",129477
"El Paso County","Household Income ($)",87470
"Fremont County","Household Income ($)",61027
"Garfield County","Household Income ($)",86172
"Gilpin County","Household Income ($)",88654
"Grand County","Household Income ($)",84558
"Gunnison County","Household Income ($)",77358
"Hinsdale County","Household Income ($)",64327
"Huerfano County","Household Income ($)",52139
"Jackson County","Household Income ($)",41809
"Jefferson County","Household Income ($)",107800
"Kiowa County","Household Income ($)",56389
"Kit Carson County","Household Income ($)",59810
"Lake County","Household Income ($)",93655
"La Plata County","Household Income ($)",85296
"Larimer County","Household Income ($)",91364
"Las Animas County","Household Income ($)",50408
"Lincoln County","Household Income ($)",54257
"Logan County","Household Income ($)",55074
"Mesa County","Household Income ($)",71485
"Mineral County","Household Income ($)",52455
"Moffat County","Household Income ($)",70975
"Montezuma County","Household Income ($)",63005
"Montrose County","Household Income ($)",66072
"Morgan County","Household Income ($)",75407
"Otero County","Household Income ($)",54897
"Ouray County","Household Income ($)",84556
"Park County","Household Income ($)",95450
"Phillips County","Household Income ($)",60372
"Pitkin County","Household Income ($)",100318
"Prowers County","Household Income ($)",57601
"Pueblo County","Household Income ($)",62250
"Rio Blanco County","Household Income ($)",72620
"Rio Grande County","Household Income ($)",62166
"Routt County","Household Income ($)",104803
"Saguache County","Household Income ($)",54283
"San Juan County","Household Income ($)",73889
"San Miguel County","Household Income ($)",80117
"Sedgwick County","Household Income ($)",52833
"Summit County","Household Income ($)",106255
"Teller County","Household Income ($)",80666
"Washington County","Household Income ($)",65164
"Weld County","Household Income ($)",93287
"Yuma County","Household Income ($)",60051
"Summit","Up-To-Date Percent",0.5286
"Routt","Up-To-Date Percent",0.5181
"Prowers","Up-To-Date Percent",0.6419
"Kiowa","Up-To-Date Percent",0.7568
"Jefferson","Up-To-Date Percent",0.5568
"Douglas","Up-To-Date Percent",0.5314
"Denver","Up-To-Date Percent",0.5581
"Costilla","Up-To-Date Percent",0.5374
"Broomfield","Up-To-Date Percent",0.5408
"Arapahoe","Up-To-Date Percent",0.5728
"Adams","Up-To-Date Percent",0.5391
"Weld","Up-To-Date Percent",0.5058
"Otero","Up-To-Date Percent",0.4996
"Mineral","Up-To-Date Percent",0.5
"Larimer","Up-To-Date Percent",0.4773
"Elbert","Up-To-Date Percent",0.4616
"Boulder","Up-To-Date Percent",0.465
"Bent","Up-To-Date Percent",0.5091
"San Miguel","Up-To-Date Percent",0.4475
"San Juan","Up-To-Date Percent",0.4118
"Pueblo","Up-To-Date Percent",0.4445
"Park","Up-To-Date Percent",0.4152
"Montrose","Up-To-Date Percent",0.4144
"Las Animas","Up-To-Date Percent",0.4289
"Lake","Up-To-Date Percent",0.4404
"Grand","Up-To-Date Percent",0.4199
"Gilpin","Up-To-Date Percent",0.4148
"Garfield","Up-To-Date Percent",0.4306
"Dolores","Up-To-Date Percent",0.4156
"Baca","Up-To-Date Percent",0.4279
"Rio Grande","Up-To-Date Percent",0.381
"Morgan","Up-To-Date Percent",0.392
"Mesa","Up-To-Date Percent",0.3768
"La Plata","Up-To-Date Percent",0.4086
"Jackson","Up-To-Date Percent",0.3667
"Huerfano","Up-To-Date Percent",0.3733
"El Paso","Up-To-Date Percent",0.3837
"Eagle","Up-To-Date Percent",0.3817
"Clear Creek","Up-To-Date Percent",0.3911
"Cheyenne","Up-To-Date Percent",0.4
"Alamosa","Up-To-Date Percent",0.3965
"Moffat","Up-To-Date Percent",0.3178
"Lincoln","Up-To-Date Percent",0.3281
"Delta","Up-To-Date Percent",0.3469
"Custer","Up-To-Date Percent",0.3172
"Crowley","Up-To-Date Percent",0.339
"Chaffee","Up-To-Date Percent",0.328
"Teller","Up-To-Date Percent",0.3007
"Saguache","Up-To-Date Percent",0.2877
"Pitkin","Up-To-Date Percent",0.2656
"Phillips","Up-To-Date Percent",0.2633
"Ouray","Up-To-Date Percent",0.2684
"Gunnison","Up-To-Date Percent",0.2952
"Fremont","Up-To-Date Percent",0.3057
"Conejos","Up-To-Date Percent",0.2904
"Archuleta","Up-To-Date Percent",0.3035
"Washington","Up-To-Date Percent",0.2105
"Montezuma","Up-To-Date Percent",0.2506
"Logan","Up-To-Date Percent",0.2532
"Yuma","Up-To-Date Percent",0.1682
"Rio Blanco","Up-To-Date Percent",0.2003
"Sedgwick","Up-To-Date Percent",0.1408
"Kit Carson","Up-To-Date Percent",0.1138
"Hinsdale","Up-To-Date Percent",0.0732
